### obs_id,timestart,timeend,valor,timeupdate
157290,6/8/05 12:00,6/8/05 12:00,3.12,25:57.1
157302,6/9/05 12:00,6/9/05 12:00,3.14,25:57.1
157313,6/10/05 12:00,6/10/05 12:00,3.13,25:57.1
157325,6/11/05 12:00,6/11/05 12:00,3.08,25:57.1
157337,6/12/05 12:00,6/12/05 12:00,3.01,25:57.1
157349,6/13/05 12:00,6/13/05 12:00,2.98,25:57.1
157361,6/14/05 12:00,6/14/05 12:00,2.9,25:57.1
157379,6/15/05 12:00,6/15/05 12:00,2.87,25:57.1
157391,6/16/05 12:00,6/16/05 12:00,2.84,25:57.1
157403,6/17/05 12:00,6/17/05 12:00,2.81,25:57.1
157415,6/18/05 12:00,6/18/05 12:00,2.79,25:57.1
157426,6/19/05 12:00,6/19/05 12:00,2.76,25:57.1
157438,6/20/05 12:00,6/20/05 12:00,2.74,25:57.1
157450,6/21/05 12:00,6/21/05 12:00,2.75,25:57.1
157462,6/22/05 12:00,6/22/05 12:00,2.78,25:57.1
157474,6/23/05 12:00,6/23/05 12:00,2.81,25:57.1
157486,6/24/05 12:00,6/24/05 12:00,2.91,25:57.1
157504,6/25/05 12:00,6/25/05 12:00,2.96,25:57.1
157516,6/26/05 12:00,6/26/05 12:00,3.05,25:57.1
157528,6/27/05 12:00,6/27/05 12:00,3.17,25:57.1
157540,6/28/05 12:00,6/28/05 12:00,3.22,25:57.1
157551,6/29/05 12:00,6/29/05 12:00,3.24,25:57.1
157562,6/30/05 12:00,6/30/05 12:00,3.29,25:57.1
157201,7/1/05 12:00,7/1/05 12:00,3.32,25:57.1
157213,7/2/05 12:00,7/2/05 12:00,3.34,25:57.1
157225,7/3/05 12:00,7/3/05 12:00,3.36,25:57.1
157237,7/4/05 12:00,7/4/05 12:00,3.36,25:57.1
157249,7/5/05 12:00,7/5/05 12:00,3.34,25:57.1
157267,7/6/05 12:00,7/6/05 12:00,3.32,25:57.1
157279,7/7/05 12:00,7/7/05 12:00,3.31,25:57.1
157291,7/8/05 12:00,7/8/05 12:00,3.28,25:57.1
157303,7/9/05 12:00,7/9/05 12:00,3.23,25:57.1
157314,7/10/05 12:00,7/10/05 12:00,3.19,25:57.1
157326,7/11/05 12:00,7/11/05 12:00,3.12,25:57.1
157338,7/12/05 12:00,7/12/05 12:00,3.05,25:57.1
157350,7/13/05 12:00,7/13/05 12:00,3.05,25:57.1
157362,7/14/05 12:00,7/14/05 12:00,3.03,25:57.1
157380,7/15/05 12:00,7/15/05 12:00,3,25:57.1
157392,7/16/05 12:00,7/16/05 12:00,3.01,25:57.1
157404,7/17/05 12:00,7/17/05 12:00,2.98,25:57.1
157416,7/18/05 12:00,7/18/05 12:00,2.94,25:57.1
157427,7/19/05 12:00,7/19/05 12:00,2.92,25:57.1
157439,7/20/05 12:00,7/20/05 12:00,2.9,25:57.1
157451,7/21/05 12:00,7/21/05 12:00,2.83,25:57.1
157463,7/22/05 12:00,7/22/05 12:00,2.77,25:57.1
157475,7/23/05 12:00,7/23/05 12:00,2.7,25:57.1
157487,7/24/05 12:00,7/24/05 12:00,2.65,25:57.1
