Fecha,Rosario,Paraná,Santa Fe,Ceres,Reconquista,Concordia,Gualeguaychú
8/13/2019,0,0,0,0,0,0,0
8/14/2019,0,0,0,0,0,0,0
8/15/2019,0,0,0,0,0,0,0
8/16/2019,0,0,0,0,0,0,0
8/17/2019,0,0,0,0,0,0,0
8/18/2019,0,0,0,0,0,0,0
8/19/2019,0,0,0,0,0,0,0
8/20/2019,0,0,0,0,0,0,0
8/21/2019,0,0,0,0,0,0,0
8/22/2019,0,0,0,0,0,0,0
8/23/2019,0,0,0,0,0,0,0
8/24/2019,0,0,0,0,0,0,0
8/25/2019,0,11,7,0,10,34,0
8/26/2019,0,0,0,0,0,0,0
8/27/2019,0,0,0,0,0,0,0
8/28/2019,0,0,0,0,0,0,0
8/29/2019,0,7,0.7,0,0,15,0
8/30/2019,0,0,0,0,0,45,0
8/31/2019,0,0,0,0,0,0,0
9/1/2019,0,0,0,0,0,0,0
9/2/2019,0,0.2,0,0,0,0,1
9/3/2019,0,0,0,0,0,0,0
9/4/2019,0,0,0,0,0,0,0
9/5/2019,0,0,0,0,0,0,0
9/6/2019,0,0,0,0,0,2,0
9/7/2019,0,0,0,0,0,0,0
9/8/2019,19,43,56,39,9,110,32
9/9/2019,9,10,5,0,0.2,7,20
9/10/2019,0,0,0,0,0,0,0
9/11/2019,0,0,0,0,0,0,0
9/12/2019,0,0,0,0,0,0,0
9/13/2019,0,0,0,0,0,0,0
9/14/2019,0,0,0,0,0,0,0
9/15/2019,0,0,0,0,0,0,0
9/16/2019,0,0,0,0,0,0,0
9/17/2019,0,0,0,0,0,0,0
9/18/2019,0,0,0,0,0,0,0
9/19/2019,0,0,0,0,0,0,0
9/20/2019,0,0,0,0,0,0,0
9/21/2019,0,0,0,0,0,0,0
9/22/2019,0,0,0,0,0,0,0
9/23/2019,0,0,0,0,0,0,0
9/24/2019,0,0,0,0,0,0,0
9/25/2019,0,0,0,0,0,0,0
9/26/2019,0,0,0,0,0,0,0
9/27/2019,0,0,0,0,0,0,0
9/28/2019,0,0,0,0,0,0,0
9/29/2019,0,0,0,0,0,0,0
9/30/2019,12,3,0.5,0,0,0,24
10/1/2019,2,0.6,0.1,5,40,53,40
10/2/2019,0,0,0,0.8,2.2,0,1
10/3/2019,2,5,1,9,0.8,0,0
10/4/2019,8,2,6,0.1,0.6,2,8
10/5/2019,0,0,0,0,0,0,0
10/6/2019,0,0,0,0,0,0,0
10/7/2019,0,3,5,0,0,0.6,0.6
10/8/2019,1,4,9,0,0,7.7,0
10/9/2019,0,0,0,0,0,0,0
10/10/2019,0,0,0,0,0,0,0
10/11/2019,0,0,0,0,0,0,0
10/12/2019,9,19,13,0,0,0,26
10/13/2019,5,4,2,9,33,25,7
10/14/2019,0,0.2,2,3,8,9,0
10/15/2019,1,5,3,2,3,4,4
10/16/2019,3,5,7,3,4,18,15
10/17/2019,0,0,0,0,0,1,6
10/18/2019,0,0,0,0,0,0,0
10/19/2019,2,3,2,2,6,0,0
10/20/2019,1,6,7,0.1,24,15,0.1
10/21/2019,4,0.3,0,0,0,0,0
10/22/2019,7,0.4,0,0,0,0,0.2
10/23/2019,0,0,0,0,0,0,0
10/24/2019,11,5,0.6,0,0,0,0
10/25/2019,0,0,0,0,0,0,0
10/26/2019,0,0,0,0,0,0,0
10/27/2019,4,0,0,0,0,31,4
10/28/2019,0,13,6,0,0,19,0
10/29/2019,1,11,15,0,0,0,2
10/30/2019,0,0.2,1,0,0.3,3,0
10/31/2019,0,0,0,0,0,0,0
11/1/2019,0,0.3,0,3,0,23,0
11/2/2019,0,8,11,13,27,35,0
11/3/2019,10,7,4,0,4,6,4
11/4/2019,12,6,5,5,45,31,32
11/5/2019,0,0,0,0,0,0,0
11/6/2019,0,0,0,0,0,0,0
11/7/2019,0,0,0,0,0,0,0
11/8/2019,0,0,0,0,0,0,0
11/9/2019,0,0,0,0,0,0,0
11/10/2019,0,0,0,0,0,0,0
11/11/2019,0,0,0,0,0,0,0
11/12/2019,1,5,6,12,7,0,0
11/13/2019,0,0,1,0,3,0,0
11/14/2019,0,0,0,0,0,0,0
11/15/2019,0,0,0,0,0,0,0
11/16/2019,4,4,0,0,0,0,0
11/17/2019,8,0,0,0,0,0,0
11/18/2019,0,0.8,4,0,0,0,0
11/19/2019,0,0,0,0,0,0,0
11/20/2019,0,0,0,28,0,0,0
11/21/2019,1,0.2,0,0,0,5,71
11/22/2019,0,0,0,0,0,0,0
11/23/2019,0,0,0,0,0,0,0
11/24/2019,11,0.2,2,0.2,0,0,0
11/25/2019,41,21,14,20,85,35,12
11/26/2019,0,0,0,0,9,0,0.2
11/27/2019,0,0,0,0,0,0,0
11/28/2019,0,0,0,0,0,0,0
11/29/2019,0.5,11,12,0,0,0.7,8
11/30/2019,0,0,0,4,16,0,0
12/1/2019,0,0,0,3,0,0,0
12/2/2019,0.1,0,0,6,3,0,0
12/3/2019,2,3,2,0,0,0,0.3
12/4/2019,0,3,2,0,4,2,0
12/5/2019,0,0,0,0,0,0,0
12/6/2019,0,0,0,0,0,0,0
12/7/2019,0,0,0,0,0,0,0
12/8/2019,27,0,0,0,0,8,0
12/9/2019,0,0,0,0,0,0,0
12/10/2019,0,0,0,0,0,0,0
12/11/2019,2,10,9,22,17,1,4
12/12/2019,0,0,0,0.5,0,0,0
12/13/2019,0,0,0,0,0,15,0
12/14/2019,19,138,242,82,90,93,37
12/15/2019,0,0,0,0,10,9,10
12/16/2019,0,0,0,0,0,0,8
12/17/2019,0,0,0,0,0,0,0
12/18/2019,0,0,0,0,0,0,0
12/19/2019,8,0,0,0,0,0,0
12/20/2019,24,16,21,11,8,23,41
12/21/2019,0,0,0,0,0,0,0
12/22/2019,0,0,0,0,0,0,0
12/23/2019,0,0,0,0,0,0,0
12/24/2019,0,0,0,0,0,0,0
12/25/2019,5,0,0,0,25,0,4
12/26/2019,0,6,0,0,0,0,0
12/27/2019,0,0,0,0,0,0,0
12/28/2019,0,0,0,0,0,0,0
12/29/2019,43,23,12,0,0,0,0
12/30/2019,4,9,7,0.2,27,22,61
12/31/2019,0,0,0,0,0,4,0.8
1/1/2020,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0
1/4/2020,0,0,0,0,0,0,0
1/5/2020,8,0,0,17,2,0,0
1/6/2020,0,0,0,0,0,0,0
1/7/2020,0,0,0,0,0,0,0
1/8/2020,17,33,28,0,0,0,2
1/9/2020,2,8,30,0,0,0,2
1/10/2020,0,6,0,18,0,35,0
1/11/2020,0,0,0,0,0,0,0
1/12/2020,0,0,0,0,0,0,0.2
1/13/2020,0,0,0,0,0,0,0
1/14/2020,46,39,2,0,2,0,32
1/15/2020,3,25,23,21,10,41,15
1/16/2020,0,0,0,0,0,0,0
1/17/2020,0,0,0,0,0,0,0
1/18/2020,0,0,0,0,0,0,0
1/19/2020,0,6,15,0,0,9,0
1/20/2020,0.1,4,2,23,51,31,12
1/21/2020,0,2,1,7,6,11,0
1/22/2020,0,0,0,0,0,0,0
1/23/2020,0,0,0,0,0,0,0
1/24/2020,0,0,0,0,0,0,0
1/25/2020,0,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0,0
1/27/2020,0,0,0,0,0,0,0
1/28/2020,0.3,0,0,0,7,0,0
1/29/2020,\N,\N,\N,12,\N,\N,29
1/30/2020,\N,0,\N,0,\N,\N,0
1/31/2020,\N,0,\N,0,\N,\N,0
2/1/2020,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0
2/4/2020,0.8,0,0,0.5,0,0,0
2/5/2020,0.5,0,4,51,46,0,0
2/6/2020,0,0,0,4,0,0,0
2/7/2020,0,0,0,0,3,0,3
2/8/2020,0,0,0,3,0,0,0
2/9/2020,0,0,0,0,0.5,0,0
2/10/2020,0,0,0,0,0,0,0
2/11/2020,0,0,0,0,0,0,0
2/12/2020,0,0,0,0,0,0,0
2/13/2020,0,11,10,2,0.2,8,0
2/14/2020,0,0,0,0,10,0,0
